ram_speed 0.03 (VC 1929/Win/asm:on)

test target: physical

Environment Info
OS : Windows 10 x64 (19045) [CP932]
CPU: Intel Core i5-7500 @ 3.40GHz [TB: 3.70GHz] (4C/4T)
RAM: Used 3726 MB, Total 32468 MB

Intel Core i5-7500 @ 3.40GHz [TB: 3.70GHz] (4C/4T)
CPU cores
  core  0   : *---
  core  1   : -*--
  core  2   : --*-
  core  3   : ---*
CPU caches
  cache L1D : *--- :  8way     32KB
  cache L1I : *--- :  8way     32KB
  cache L1D : -*-- :  8way     32KB
  cache L1I : -*-- :  8way     32KB
  cache L1D : --*- :  8way     32KB
  cache L1I : --*- :  8way     32KB
  cache L1D : ---* :  8way     32KB
  cache L1I : ---* :  8way     32KB
  cache L2  : *--- :  4way    256KB
  cache L2  : -*-- :  4way    256KB
  cache L2  : --*- :  4way    256KB
  cache L2  : ---* :  4way    256KB
  cache L3  : **** : 12way   6144KB

inter core latency (ns)
      ,     0  ,     1  ,     2  ,     3  
 311744,  20.5,  29.7,  30.8,  31.1,
 339959,  20.4,  29.7,  30.8,  31.0,
 370728,  20.4,  29.6,  30.7,  31.0,
 404281,  20.4,  29.6,  30.7,  31.0,
 440872,  20.3,  29.5,  30.5,  31.0,
 480774,  20.3,  29.5,  30.7,  30.9,
 524288,  20.3,  29.5,  30.7,  30.9,

write bandwidth (GB/s)
      4, 110.0, 223.2, 334.8, 434.0,
      4, 111.6, 223.2, 334.8, 434.0,
      5, 111.6, 223.2, 334.8, 434.0,
      5, 110.0, 223.2, 334.8, 434.0,
      6, 111.6, 223.2, 334.8, 434.0,
      6, 111.6, 220.0, 334.8, 434.0,
      7, 111.6, 220.0, 334.8, 434.0,
      7, 111.6, 221.6, 334.7, 434.0,
      8, 111.6, 223.2, 334.7, 434.0,
      9, 110.0, 223.2, 334.7, 434.0,
     10, 110.0, 223.2, 331.6, 428.0,
     10, 110.0, 223.2, 330.0, 433.9,
     11, 110.0, 223.2, 333.2, 433.9,
     12, 111.5, 223.2, 334.8, 432.4,
     13, 111.5, 223.2, 249.8, 430.9,
     15, 111.6, 223.2, 334.7, 431.0,
     16, 110.0, 223.2, 334.7, 434.0,
     17, 110.0, 221.5, 334.7, 433.9,
     19, 110.0, 220.0, 334.7, 432.4,
     21, 110.0, 220.0, 334.7, 433.9,
     23, 110.0, 220.0, 334.8, 433.9,
     25, 111.4, 223.1, 272.7, 362.5,
     27, 111.5, 222.9, 330.0, 433.9,
     29, 111.3, 223.0, 330.0, 433.9,
     32, 110.0, 220.1, 329.9, 434.0,
     35,  59.6, 220.0, 331.5, 429.3,
     38,  59.9, 220.0, 334.7, 427.9,
     41,  59.5, 221.4, 334.6, 429.5,
     45,  60.1, 221.6, 333.1, 427.8,
     49,  59.9, 222.9, 331.4, 433.7,
     54,  60.8, 222.9, 330.0, 433.4,
     59,  60.2, 222.7, 304.3, 432.1,
     64,  61.0, 220.1, 330.1, 428.1,
     70,  62.0, 115.7, 334.4, 428.0,
     76,  59.1, 110.9, 334.6, 430.9,
     83,  63.6, 113.4, 333.9, 433.6,
     91,  61.5, 116.6, 332.7, 427.9,
     99,  64.0, 118.9, 244.1, 433.3,
    108,  62.8, 123.4, 164.5, 433.4,
    117,  62.9, 121.2, 162.6, 395.0,
    128,  64.0, 123.0, 177.4, 413.1,
    140,  65.6, 123.5, 179.2, 244.4,
    152,  62.7, 119.9, 183.0, 253.0,
    166,  64.6, 123.6, 179.5, 212.8,
    181,  63.3, 121.2, 167.8, 214.7,
    197,  64.9, 121.9, 185.0, 217.5,
    215,  63.5, 123.6, 183.4, 238.6,
    235,  60.5, 124.2, 185.1, 229.6,
    256,  60.1, 131.9, 176.5, 235.4,
    279,  54.8, 126.7, 176.2, 234.2,
    304,  50.7, 124.6, 177.0, 228.6,
    332,  49.3, 130.4, 184.6, 238.8,
    362,  47.2, 124.1, 178.7, 235.3,
    395,  46.2, 124.3, 184.1, 240.6,
    431,  45.4, 119.4, 183.9, 235.2,
    470,  44.8, 109.3, 173.1, 242.6,
    512,  43.9, 106.7, 185.7, 244.2,
    558,  43.4, 102.7, 187.2, 240.5,
    609,  42.4,  99.1, 187.4, 237.7,
    664,  42.7,  96.2, 175.7, 244.5,
    724,  42.5,  93.0, 171.8, 239.8,
    790,  42.8,  90.5, 168.1, 249.6,
    861,  42.7,  88.7, 157.9, 241.5,
    939,  42.7,  87.8, 146.3, 236.0,
   1024,  42.7,  87.1, 139.9, 233.4,
   1117,  42.6,  86.2, 134.5, 211.2,
   1218,  42.8,  85.3, 133.8, 191.5,
   1328,  42.7,  85.9, 130.6, 184.8,
   1448,  42.6,  85.9, 129.6, 178.0,
   1579,  42.8,  85.8, 128.9, 172.9,
   1722,  42.9,  85.7, 127.8, 169.7,
   1878,  42.9,  85.8, 127.5, 167.0,
   2048,  42.7,  85.9, 128.5, 166.5,
   2233,  42.9,  85.5, 126.9, 169.2,
   2435,  42.7,  86.0, 127.6, 163.9,
   2656,  42.9,  85.9, 127.4, 161.5,
   2896,  42.8,  85.8, 126.3, 164.9,
   3158,  42.7,  85.8, 127.3, 162.6,
   3444,  42.7,  85.9, 100.7, 159.0,
   3756,  39.2,  80.5, 113.9, 163.1,
   4096,  42.5,  77.4, 112.7, 121.3,
   4467,  39.1,  76.1, 103.2, 122.1,
   4871,  37.2,  69.7, 103.4, 134.1,
   5312,  34.9,  61.4,  90.3, 124.3,
   5793,  35.9,  65.7,  87.5, 129.9,
   6317,  31.2,  62.6,  77.3, 109.9,
   6889,  28.8,  45.7,  75.7,  97.7,
   7512,  25.2,  43.0,  68.5,  80.6,
   8192,  24.9,  38.5,  46.7,  75.1,
   8933,  24.1,  34.6,  60.2,  67.7,
   9742,  23.2,  32.2,  46.2,  64.0,
  10624,  22.8,  30.4,  48.3,  60.4,
  11585,  22.4,  29.0,  26.2,  51.3,
  12634,  21.4,  27.3,  24.8,  23.2,
  13777,   6.6,  25.3,  23.4,  22.2,
  15024,  20.2,  24.0,  22.8,  21.2,
  16384,  20.4,  23.5,  21.9,  20.4,
  17867,  19.0,  22.6,  21.1,  19.8,
  19484,  18.9,  22.4,  20.5,  19.3,
  21247,  18.8,  21.9,  19.8,  18.9,
  23170,  18.4,  21.4,  19.4,  18.5,
  25268,  17.1,  18.7,  19.2,  18.1,
  27554,  18.5,  20.7,  18.8,  17.6,
  30048,  18.5,  20.0,  18.6,  17.3,
  32768,  18.1,  20.1,  18.4,  17.1,
  35734,  17.9,  19.7,  18.1,  16.9,
  38968,  18.0,  19.6,  17.9,  16.8,
  42495,  17.9,  19.4,  17.8,  16.7,
  46341,  17.5,  19.2,  17.7,  16.6,
  50535,  17.7,  19.1,  17.6,  16.5,
  55109,  17.4,  19.0,  17.4,  16.4,
  60097,  17.5,  18.9,  17.4,  16.3,
  65536,  17.6,  18.7,  17.3,  16.2,
  71468,  17.4,  18.6,  17.2,  16.2,
  77936,  17.4,  18.6,  17.2,  16.1,
  84990,  17.4,  18.4,  17.1,  16.0,
  92682,  17.2,  18.4,  17.0,  16.0,
 101070,  17.2,  18.3,  16.9,  15.9,
 110218,  17.1,  18.2,  16.8,  15.9,
 120194,  17.0,  18.1,  16.8,  15.8,
 131072,  17.0,  18.0,  16.6,  15.8,
 142935,  17.0,  18.0,  16.7,  15.8,
 155872,  16.9,  17.9,  16.7,  15.7,
 169979,  16.9,  15.1,  16.6,  15.7,
 185364,  16.8,  17.8,  16.6,  15.7,
 202141,  16.9,  17.7,  16.6,  15.7,
 220436,  16.8,  17.6,  16.5,  15.7,
 240387,  16.8,  17.7,  16.5,  15.6,
 262144,  16.7,  17.6,  16.5,  15.6,
 285870,  16.7,  17.7,  16.5,  15.6,
 311744,  16.7,  17.6,  16.5,  15.6,
 339959,  16.7,  17.6,  16.5,  15.6,
 370728,  16.6,  17.6,  16.5,  15.6,
 404281,  16.6,  17.6,  16.4,  15.6,
 440872,  16.6,  17.5,  16.4,  15.6,
 480774,  16.6,  17.5,  16.4,  15.6,
 524288,  16.6,  17.5,  16.4,  15.6,
