ram_speed 0.01 (VC 1927/Win/asm:on)

Environment Info
OS : Windows 10 x64 (19042)
CPU: AMD Ryzen 9 5950X 16-Core Processor 
RAM: Used 3050 MB, Total 32713 MB

inter core latency
    27, 147.2, 291.9, 438.0, 584.0, 729.9, 876.0,1022.2,1168.2,
    29, 147.3, 291.9, 438.0, 584.0, 730.0, 876.0,1022.1,1168.2,
    32, 147.4, 292.1, 438.0, 584.1, 730.0, 875.9,1021.9,1168.2,
    35, 133.5, 292.0, 437.9, 584.0, 730.0, 875.9,1021.9,1168.0,
    38, 129.0, 292.0, 437.9, 583.9, 730.0, 876.0,1021.9,1167.9,
    41, 128.9, 292.0, 437.9, 584.0, 730.0, 876.0,1021.9,1167.9,
    45, 128.0, 291.9, 438.0, 583.9, 729.9, 876.0,1021.9,1167.9,
    49, 128.7, 291.8, 437.7, 583.8, 729.9, 876.0,1021.9,1167.9,
    54, 129.0, 291.7, 438.0, 583.8, 729.9, 876.0,1022.1,1167.9,
    59, 129.9, 291.9, 438.0, 583.8, 729.9, 875.9,1022.0,1167.9,
    64, 129.1, 292.1, 438.0, 584.1, 729.9, 875.9,1021.9,1168.2,
    70, 129.1, 263.7, 437.9, 584.0, 730.0, 875.8,1021.9,1167.9,
    76, 130.1, 259.1, 437.7, 583.9, 730.1, 875.8,1021.9,1167.8,
    83, 128.9, 256.7, 437.7, 584.0, 729.5, 875.9,1021.9,1167.9,
    91, 130.2, 259.3, 438.0, 583.9, 729.8, 876.0,1021.9,1167.7,
    99, 129.8, 257.5, 421.9, 583.6, 730.0, 875.3,1021.8,1167.7,
   108, 130.7, 257.9, 389.5, 583.3, 730.0, 876.0,1020.8,1167.6,
   117, 129.8, 260.1, 389.3, 583.6, 729.9, 876.0,1021.3,1167.5,
   128, 132.4, 259.4, 389.3, 584.1, 729.6, 876.1,1021.7,1168.2,
   140, 131.3, 260.4, 391.4, 529.6, 723.2, 875.9,1021.9,1167.9,
   152, 129.7, 257.8, 393.7, 517.3, 728.5, 875.5,1021.6,1167.8,
   166, 130.4, 259.9, 390.2, 516.6, 694.7, 867.2,1021.6,1167.9,
   181, 130.9, 258.2, 385.2, 517.6, 648.1, 867.8,1021.9,1167.8,
   197, 128.7, 258.7, 386.0, 516.5, 644.6, 838.9,1011.9,1167.2,
   215, 129.1, 257.3, 394.5, 518.2, 646.6, 773.5,1012.0,1156.0,
   235, 129.9, 258.5, 393.2, 522.6, 647.9, 776.4, 959.1,1156.3,
   256, 130.2, 257.2, 396.2, 522.4, 646.6, 778.5, 902.2,1157.4,
   279, 131.0, 257.7, 385.9, 521.6, 642.5, 773.1, 902.7,1054.5,
   304, 127.2, 257.9, 388.5, 524.4, 641.0, 776.3, 898.5,1031.6,
   332, 129.3, 258.6, 395.5, 523.4, 641.6, 776.2, 902.0,1031.2,
   362, 126.5, 260.4, 395.7, 525.6, 648.6, 777.4, 901.7,1029.8,
   395, 123.6, 260.7, 391.7, 518.6, 645.9, 778.8, 908.8,1030.7,
   431, 122.0, 256.1, 395.1, 522.9, 649.7, 768.2, 905.1,1035.5,
   470, 119.1, 259.9, 400.0, 521.8, 651.6, 783.2, 914.1,1035.3,
   512, 111.6, 258.3, 402.2, 521.2, 652.6, 784.7, 916.3,1036.7,
   558, 109.5, 257.4, 399.5, 522.9, 652.9, 788.9, 898.1,1027.7,
   609, 107.9, 257.6, 397.7, 525.0, 647.8, 786.4, 912.9,1047.7,
   664, 101.3, 253.3, 388.1, 527.6, 649.5, 781.9, 895.3,1033.8,
   724,  97.4, 249.7, 390.1, 529.8, 651.9, 775.5, 918.4,1041.5,
   790,  88.6, 237.6, 386.1, 527.8, 656.1, 778.8, 907.5,1048.7,
   861,  82.2, 211.7, 383.7, 532.4, 657.1, 784.3, 913.1,1035.6,
   939,  82.8, 209.5, 383.0, 521.8, 657.1, 784.9, 919.5,1049.5,
  1024,  87.8, 203.0, 379.0, 515.5, 656.5, 798.3, 919.4,1049.1,
  1117, 101.5, 200.6, 374.3, 511.7, 654.3, 792.4, 922.2,1046.4,
  1218, 104.9, 198.7, 371.8, 508.8, 661.4, 796.5, 924.2,1037.6,
  1328, 109.3, 194.9, 358.3, 510.9, 642.7, 785.7, 925.3,1053.0,
  1448, 109.3, 196.1, 339.4, 507.6, 638.3, 785.1, 920.1,1052.8,
  1579, 110.0, 186.5, 328.1, 502.2, 636.1, 774.0, 913.5,1054.2,
  1722, 109.5, 189.2, 313.6, 487.9, 636.2, 771.7, 917.7,1055.0,
  1878, 110.2, 192.2, 303.2, 459.8, 630.5, 759.6, 899.0,1032.4,
  2048, 110.0, 207.6, 298.9, 437.2, 616.0, 758.2, 891.2,1028.9,
  2233, 111.3, 211.5, 291.1, 442.8, 591.9, 746.7, 885.4,1022.1,
  2435, 112.4, 211.9, 288.0, 398.8, 562.0, 733.6, 881.6,1019.6,
  2656, 111.7, 218.7, 280.9, 382.4, 542.0, 724.8, 851.1,1013.4,
  2896, 112.3, 219.4, 286.4, 365.6, 497.9, 652.1, 856.2, 988.7,
  3158, 112.4, 220.7, 296.0, 363.6, 466.1, 628.1, 823.5, 947.7,
