ram_speed 0.03 (gcc 9.4.0/Linux/asm:off)

test target: ecore

Environment Info
OS : Ubuntu 20.04.6 LTS (5.10.110-37-rockchip-g74457be0716d)
CPU: Cortex-A55x4 + Cortex-A76x4  (4P+4E,8C/8T)
RAM: Used 2407 MB, Total 7691 MB

Cortex-A55x4 + Cortex-A76x4  (4P+4E,8C/8T)
CPU cores
  core  0 E : *-------
  core  1 E : -*------
  core  2 E : --*-----
  core  3 E : ---*----
  core  4 P : ----*---
  core  5 P : -----*--
  core  6 P : ------*-
  core  7 P : -------*
CPU caches
  cache L1D : *------- :  4way     32KB
  cache L1I : *------- :  4way     32KB
  cache L1D : -*------ :  4way     32KB
  cache L1I : -*------ :  4way     32KB
  cache L1D : --*----- :  4way     32KB
  cache L1I : --*----- :  4way     32KB
  cache L1D : ---*---- :  4way     32KB
  cache L1I : ---*---- :  4way     32KB
  cache L1D : ----*--- :  4way     64KB
  cache L1I : ----*--- :  4way     64KB
  cache L1D : -----*-- :  4way     64KB
  cache L1I : -----*-- :  4way     64KB
  cache L1D : ------*- :  4way     64KB
  cache L1I : ------*- :  4way     64KB
  cache L1D : -------* :  4way     64KB
  cache L1I : -------* :  4way     64KB
  cache L2  : *------- :  4way    128KB
  cache L2  : -*------ :  4way    128KB
  cache L2  : --*----- :  4way    128KB
  cache L2  : ---*---- :  4way    128KB
  cache L2  : ----*--- :  8way    512KB
  cache L2  : -----*-- :  8way    512KB
  cache L2  : ------*- :  8way    512KB
  cache L2  : -------* :  8way    512KB
  cache L3  : ******** : 12way   3072KB

inter core latency (ns)
      ,     0 E,     1 E,     2 E,     3 E
   0 E,        ,   83.53,   87.16,   72.91
   1 E,   90.08,        ,   89.62,   68.31
   2 E,  111.49,  113.96,        ,   82.99
   3 E,  101.34,  117.95,   88.69,        

ram latency (ns)
, sequantial, cacheline forward2, full random
  32768,   5.8,  10.1,  15.4,  17.7,
  35734,   5.7,  11.0,  15.4,  17.7,
  38968,   5.7,  11.0,  15.4,  17.8,
  42495,   3.0,  11.0,  15.4,  17.8,
  46341,   5.8,  11.2,  15.4,  17.8,
  50535,   3.0,   5.0,  15.4,  17.9,
  55109,   5.9,  10.2,  13.6,  18.0,
  60097,   3.1,   5.1,  15.8,  18.5,
  65536,   3.0,   7.9,  14.3,  16.8,
  71468,   3.0,  10.3,  14.3,  17.0,
  77936,   5.3,   8.3,  15.5,  18.1,
  84990,   5.8,  10.3,  14.2,  16.7,
  92682,   4.5,   8.1,  10.5,  19.3,
 101070,   3.0,  11.0,  10.3,  11.3,
 110218,   4.5,   8.3,  15.4,  17.8,
 120194,   4.8,  10.7,  17.6,  20.5,
 131072,   6.3,  12.4,  17.6,  20.6,
 142935,   6.3,  12.4,  11.2,  12.0,
 155872,   3.0,   5.2,  14.3,  16.6,
 169979,   3.0,   5.0,  14.2,  15.4,
 185364,   3.0,   5.2,  16.6,  19.6,
 202141,   3.0,  10.5,  15.7,  19.2,
 220436,   3.0,   5.0,  15.4,  18.5,
 240387,   3.0,  10.9,  15.4,  15.4,
 262144,   3.0,   5.0,  15.4,  15.1,
 285870,   3.0,   5.0,  15.5,  16.6,
 311744,   3.0,   5.3,  14.2,  17.9,
 339959,   5.5,   8.7,  16.3,  17.4,
 370728,   5.5,  10.2,  16.1,  18.7,
 404281,   4.5,  10.2,   6.2,  17.9,
 440872,   3.0,  10.3,  16.2,  20.6,
 480774,   3.0,  10.5,   9.6,  18.8,
 524288,   3.0,  11.7,  17.5,  17.6,

write bandwidth (GB/s)
      4,  24.8,  49.9,  73.9,  98.1,
      4,  22.8,  50.0,  74.3,  98.3,
      5,  25.2,  50.0,  74.5,  98.0,
      5,  24.8,  50.3,  73.9,  98.7,
      6,  24.8,  50.2,  74.8,  98.9,
      6,  24.9,  49.6,  74.6,  98.8,
      7,  25.0,  49.5,  75.0,  98.5,
      7,  24.6,  49.7,  75.0,  99.4,
      8,  24.9,  50.4,  74.9,  99.3,
      9,  24.7,  49.9,  75.0,  98.9,
     10,  25.1,  50.5,  75.0,  99.5,
     10,  25.1,  49.6,  74.9, 100.1,
     11,  25.1,  50.6,  74.6, 100.2,
     12,  25.1,  48.8,  75.0,  99.3,
     13,  25.4,  50.2,  74.5,  93.8,
     15,  25.2,  49.9,  74.6,  99.2,
     16,  25.2,  50.0,  75.5,  99.8,
     17,  25.2,  50.6,  74.6, 100.0,
     19,  25.2,  50.4,  75.7, 100.5,
     21,  22.8,  50.2,  74.7, 100.3,
     23,  24.1,  50.5,  75.2, 100.8,
     25,  25.3,  48.8,  75.4, 100.3,
     27,  25.3,  50.5,  75.5, 100.6,
     29,  25.2,  50.7,  75.3, 100.9,
     32,  25.3,  50.6,  75.4, 100.3,
     35,  23.7,  45.0,  70.3, 100.9,
     38,  25.3,  50.3,  75.5, 100.7,
     41,  25.0,  50.4,  75.5, 100.7,
     45,  25.1,  50.5,  75.7, 100.9,
     49,  25.4,  50.4,  75.2, 100.9,
     54,  24.9,  50.5,  74.9, 100.8,
     59,  24.9,  50.5,  75.1, 100.6,
     64,  25.0,  50.3,  75.4, 101.0,
     70,  22.5,  50.4,  75.4, 100.3,
     76,  21.4,  50.6,  75.2,  99.8,
     83,  22.6,  50.6,  74.9, 100.5,
     91,  25.0,  50.6,  75.7, 100.2,
     99,  25.0,  50.6,  73.6, 100.2,
    108,  25.0,  49.9,  75.6, 100.6,
    117,  22.6,  50.6,  75.7, 100.4,
    128,  24.6,  49.9,  75.7, 100.4,
    140,  25.1,  49.6,  75.6, 100.6,
    152,  25.1,  49.9,  75.5, 100.4,
    166,  25.0,  49.7,  75.5, 100.4,
    181,  17.0,  49.8,  73.6, 100.2,
    197,  25.0,  49.9,  74.3,  98.6,
    215,  22.3,  49.0,  74.4,  99.0,
    235,  25.0,  49.1,  74.0,  98.7,
    256,  25.0,  49.8,  73.2,  98.2,
    279,  24.8,  49.8,  73.9,  97.5,
    304,  24.7,  46.0,  74.3,  97.4,
    332,  25.0,  49.6,  73.9,  97.6,
    362,  24.5,  49.6,  74.4,  92.7,
    395,  24.9,  43.8,  72.2,  91.0,
    431,  24.8,  49.7,  72.6,  95.2,
    470,  24.7,  49.7,  72.5,  94.2,
    512,  24.8,  48.8,  72.6,  93.5,
    558,  25.1,  49.6,  58.8,  87.1,
    609,  21.8,  49.5,  72.0,  90.2,
    664,  22.7,  41.1,  73.1,  90.1,
    724,  23.4,  44.3,  69.3,  86.0,
    790,  24.9,  49.0,  73.1,  86.1,
    861,  19.7,  48.4,  68.4,  82.9,
    939,  24.6,  40.5,  72.0,  78.9,
   1024,  20.9,  37.7,  51.8,  83.7,
   1117,  23.8,  45.2,  65.4,  82.2,
   1218,  22.6,  47.0,  67.4,  68.4,
   1328,  24.0,  48.7,  67.9,  75.9,
   1448,  23.8,  45.0,  68.6,  67.0,
   1579,  21.3,  42.3,  60.3,  52.9,
   1722,  22.8,  41.1,  68.4,  71.1,
   1878,  24.8,  44.5,  63.8,  64.4,
   2048,  22.6,  46.1,  54.9,  65.4,
   2233,  24.9,  43.1,  65.2,  65.6,
   2435,  24.7,  39.3,  59.1,  54.9,
   2656,  19.6,  40.0,  60.5,  59.5,
   2896,  24.0,  33.3,  55.3,  56.3,
   3158,  24.0,  42.2,  50.7,  52.2,
   3444,  23.5,  37.8,  47.1,  47.1,
   3756,  22.1,  35.3,  46.6,  48.0,
   4096,  24.5,  36.9,  48.0,  43.2,
   4467,  21.1,  32.7,  41.3,  43.0,
   4871,  24.5,  33.7,  40.5,  40.6,
   5312,  22.1,  34.2,  33.6,  38.6,
   5793,  21.8,  31.8,  37.1,  38.1,
   6317,  22.7,  34.1,  38.1,  37.4,
   6889,  24.2,  32.6,  34.9,  35.3,
   7512,  24.0,  30.8,  31.2,  33.5,
   8192,  24.0,  29.8,  32.1,  34.1,
   8933,  21.7,  29.2,  31.4,  32.1,
   9742,  22.4,  28.8,  32.2,  32.1,
  10624,  24.0,  29.8,  30.9,  31.5,
  11585,  23.7,  27.4,  30.2,  29.5,
  12634,  23.4,  29.3,  29.2,  29.9,
  13777,  22.7,  28.8,  29.6,  29.7,
