ram_speed 0.03 (VC 1929/Win/asm:on)

test target: physical

Environment Info
OS : Windows 10 x64 (19044) [CP932]
CPU: Intel Core i3-4170 @ 3.70GHz (2C/4T)
RAM: Used 2234 MB, Total 7885 MB

Intel Core i3-4170 @ 3.70GHz (2C/4T)
CPU cores
  core  0   : **--
  core  1   : --**
CPU caches
  cache L1D : **-- :  8way     32KB
  cache L1I : **-- :  8way     32KB
  cache L1D : --** :  8way     32KB
  cache L1I : --** :  8way     32KB
  cache L2  : **-- :  8way    256KB
  cache L2  : --** :  8way    256KB
  cache L3  : **** : 12way   3072KB

inter core latency (ns)
      ,     0  ,     1  
   0  ,    7.65,   19.26
   1  ,   19.09,    7.65

ram latency (ns)
, sequantial, cacheline forward2, full random
  10624,  12.7,  13.6,
  11585,  12.7,  13.6,
  12634,  11.9,  13.8,
  13777,  12.6,  13.8,
  15024,  12.6,  13.6,
  16384,  11.9,  13.6,
  17867,  12.5,  13.7,
  19484,  12.5,  13.6,
  21247,  11.8,  13.5,
  23170,  11.9,  13.6,
  25268,  12.5,  13.6,
  27554,  12.5,  13.6,
  30048,  12.5,  13.5,
  32768,  12.4,  13.5,
  35734,  11.9,  13.5,
  38968,  11.9,  13.5,
  42495,  12.4,  13.5,
  46341,  12.4,  13.6,
  50535,  11.8,  13.5,
  55109,  12.4,  13.5,
  60097,  11.9,  13.5,
  65536,  11.9,  13.5,
  71468,  11.9,  13.5,
  77936,  12.4,  13.5,
  84990,  12.4,  13.5,
  92682,  12.4,  13.5,
 101070,  11.9,  13.5,
 110218,  12.4,  13.6,
 120194,  11.8,  13.5,
 131072,  12.4,  13.5,
 142935,  12.4,  13.5,
 155872,  11.8,  13.5,
 169979,  12.4,  13.5,
 185364,  12.4,  13.5,
 202141,  11.8,  13.5,
 220436,  12.4,  13.5,
 240387,  11.8,  13.5,
 262144,  11.8,  13.5,
 285870,  12.4,  13.5,
 311744,  12.4,  13.5,
 339959,  12.4,  13.5,
 370728,  12.4,  13.5,
 404281,  12.4,  13.5,
 440872,  12.4,  13.5,
 480774,  11.8,  13.5,
 524288,  12.4,  13.5,
