ram_speed 0.03 (VC 1929/Win/asm:on)

test target: physical

Environment Info
OS : Windows 10 x64 (19044) [CP932]
CPU: Intel Core i3-4170 @ 3.70GHz (2C/4T)
RAM: Used 2234 MB, Total 7885 MB

Intel Core i3-4170 @ 3.70GHz (2C/4T)
CPU cores
  core  0   : **--
  core  1   : --**
CPU caches
  cache L1D : **-- :  8way     32KB
  cache L1I : **-- :  8way     32KB
  cache L1D : --** :  8way     32KB
  cache L1I : --** :  8way     32KB
  cache L2  : **-- :  8way    256KB
  cache L2  : --** :  8way    256KB
  cache L3  : **** : 12way   3072KB

inter core latency (ns)
      ,     0  ,     1  
   0  ,    7.65,   19.26
   1  ,   19.09,    7.65

ram latency (ns)
, sequantial, cacheline forward2, full random
   1117,  44.4,  88.2,
   1218,  44.4,  88.3,
   1328,  44.2,  88.4,
   1448,  44.3,  88.3,
   1579,  44.3,  88.6,
   1722,  44.4,  87.2,
   1878,  44.2,  88.5,
   2048,  44.4,  88.3,
   2233,  40.7,  88.5,
   2435,  38.3,  86.6,
   2656,  36.5,  85.6,
   2896,  32.9,  68.4,
   3158,  32.2,  71.2,
   3444,  31.0,  65.3,
   3756,  28.3,  53.9,
   4096,  28.0,  39.4,
   4467,  27.0,  42.1,
   4871,  25.7,  38.4,
   5312,  24.6,  33.4,
   5793,  23.6,  33.3,
   6317,  23.0,  29.8,
   6889,  22.4,  30.6,
   7512,  21.9,  30.2,
   8192,  21.6,  29.5,
   8933,  21.5,  28.2,
   9742,  21.2,  28.5,
  10624,  21.0,  28.8,
  11585,  21.0,  28.5,
  12634,  21.0,  28.5,
  13777,  20.9,  28.0,
  15024,  20.8,  28.1,
  16384,  20.7,  28.3,
  17867,  20.8,  28.2,
  19484,  20.7,  28.3,
  21247,  20.7,  28.2,
  23170,  20.7,  28.0,
  25268,  20.7,  28.4,
  27554,  20.6,  28.2,
  30048,  20.7,  28.1,
  32768,  20.6,  28.1,
  35734,  20.6,  28.2,
  38968,  20.6,  28.2,
  42495,  20.6,  28.1,
  46341,  20.6,  28.1,
  50535,  20.6,  28.2,
  55109,  20.6,  28.0,
  60097,  20.6,  28.2,
  65536,  20.6,  28.1,
  71468,  20.6,  28.1,
  77936,  20.6,  28.0,
  84990,  20.6,  28.1,
  92682,  20.6,  28.0,
 101070,  20.6,  27.9,
 110218,  20.6,  28.1,
 120194,  20.6,  28.2,
 131072,  20.6,  28.2,
 142935,  20.6,  28.1,
 155872,  20.5,  28.0,
 169979,  20.5,  28.1,
 185364,  20.5,  28.1,
 202141,  20.5,  28.1,
 220436,  20.4,  28.2,
 240387,  20.4,  28.1,
 262144,  20.4,  28.0,
 285870,  20.4,  28.0,
 311744,  20.4,  28.0,
 339959,  20.3,  27.9,
 370728,  20.3,  28.1,
 404281,  20.3,  28.1,
 440872,  20.3,  27.9,
 480774,  20.3,  28.1,
 524288,  20.3,  27.9,

write bandwidth (GB/s)
