inter core latency
    11,  92.2, 171.5, 266.8, 362.0, 476.4, 571.6, 666.9, 762.2,
    12,  92.2, 171.5, 266.8, 362.0, 476.4, 571.6, 666.9, 762.2,
    13,  92.7, 166.8, 266.7, 362.0, 476.4, 571.6, 666.9, 762.2,
    15,  93.0, 163.3, 266.7, 362.0, 476.3, 571.6, 666.9, 762.2,
    16,  93.0, 156.3, 266.7, 362.0, 476.3, 571.6, 666.9, 762.2,
    17,  93.3, 167.8, 266.7, 362.0, 476.4, 571.6, 666.9, 762.2,
    19,  93.5, 164.8, 266.8, 362.0, 476.4, 571.6, 666.9, 762.2,
    21,  93.5, 165.0, 258.2, 362.0, 476.4, 571.6, 666.9, 762.2,
    23,  93.8, 165.9, 254.6, 362.0, 476.3, 571.6, 666.9, 762.2,
    25,  93.8, 166.3, 262.9, 362.0, 476.3, 571.6, 666.9, 762.2,
    27,  94.1, 166.9, 256.1, 352.6, 476.3, 571.6, 666.9, 762.2,
    29,  94.1, 167.4, 256.4, 344.9, 476.3, 571.6, 666.9, 762.2,
    32,  89.5, 167.4, 257.1, 346.2, 476.3, 571.6, 666.9, 762.2,
    35,  75.8, 186.5, 258.0, 354.7, 451.3, 571.6, 666.9, 762.1,
    38,  72.3, 187.1, 259.3, 347.5, 454.7, 571.6, 666.8, 762.1,
    41,  73.5, 187.1, 259.6, 348.6, 468.0, 553.1, 666.9, 762.1,
    45,  73.5, 187.6, 260.4, 350.0, 457.8, 545.3, 666.9, 762.1,
    49,  73.4, 187.6, 266.8, 351.0, 457.8, 559.1, 638.2, 762.2,
    54,  73.6, 188.2, 266.2, 352.4, 458.9, 549.5, 626.3, 743.3,
    59,  73.7, 169.3, 261.8, 371.9, 442.3, 549.2, 662.7, 712.8,
    64,  73.7, 160.9, 262.0, 353.4, 462.7, 550.2, 640.3, 726.5,
    70,  73.7, 152.2, 281.4, 373.0, 463.5, 553.0, 641.3, 746.2,
    76,  73.8, 146.8, 262.8, 355.3, 465.0, 555.2, 643.2, 731.2,
    83,  73.7, 146.6, 263.5, 355.5, 466.2, 556.3, 645.1, 734.3,
    91,  73.9, 132.5, 263.5, 356.3, 466.9, 557.9, 649.0, 736.8,
    99,  73.8, 147.2, 255.0, 356.5, 467.7, 559.4, 648.4, 739.0,
   108,  73.8, 132.5, 205.0, 357.5, 468.0, 559.6, 651.0, 741.8,
   117,  73.8, 147.5, 220.3, 364.1, 469.1, 561.2, 652.8, 743.8,
   128,  73.9, 132.7, 205.7, 342.1, 469.2, 561.3, 654.0, 744.0,
   140,  73.9, 147.4, 220.4, 289.5, 470.5, 562.9, 654.8, 746.1,
   152,  73.9, 132.7, 206.0, 288.2, 470.5, 563.0, 655.9, 748.2,
   166,  74.1, 132.8, 206.1, 279.1, 416.4, 564.5, 656.7, 748.3,
   181,  74.0, 132.7, 206.3, 279.3, 365.4, 564.6, 656.8, 750.5,
   197,  74.0, 132.9, 206.4, 279.7, 367.2, 515.6, 658.6, 750.4,
   215,  74.0, 132.8, 205.2, 279.7, 367.4, 439.9, 658.8, 751.8,
   235,  74.2, 132.9, 206.8, 279.9, 367.9, 440.3, 578.4, 752.5,
   256,  73.9, 147.8, 221.6, 294.8, 366.6, 441.2, 513.6, 716.4,
   279,  74.1, 147.8, 221.6, 295.0, 367.9, 440.8, 513.9, 606.7,
   304,  74.0, 133.1, 206.9, 295.0, 368.3, 441.6, 514.9, 587.0,
   332,  74.1, 148.0, 221.7, 295.3, 368.9, 441.5, 514.7, 587.5,
   362,  74.1, 133.2, 206.9, 280.6, 368.6, 440.9, 515.4, 588.1,
   395,  74.1, 148.0, 222.0, 295.5, 368.9, 442.2, 515.5, 588.6,
   431,  74.0, 133.3, 207.2, 280.9, 369.4, 442.7, 515.9, 588.7,
   470,  73.6, 148.2, 222.2, 295.5, 369.3, 442.8, 515.6, 589.3,
   512,  69.6, 133.1, 207.2, 280.7, 369.4, 443.0, 516.3, 589.6,
   558,  66.4, 148.0, 222.1, 280.9, 369.5, 442.8, 516.4, 590.0,
   609,  63.6, 133.2, 207.3, 281.0, 369.7, 443.2, 516.8, 590.0,
   664,  61.8, 133.3, 222.3, 281.4, 369.7, 443.5, 517.0, 590.5,
   724,  60.7, 148.1, 222.1, 296.1, 369.8, 443.9, 517.4, 591.1,
   790,  60.1, 133.3, 207.2, 281.2, 370.3, 443.9, 517.7, 590.9,
   861,  60.4, 133.2, 205.5, 281.3, 370.1, 443.9, 517.6, 591.1,
   939,  60.2, 146.7, 222.2, 296.3, 370.1, 444.1, 517.7, 591.1,
  1024,  60.2, 127.5, 207.3, 281.2, 370.1, 443.9, 517.7, 591.0,
  1117,  60.0, 119.9, 207.5, 281.3, 370.5, 444.1, 518.2, 591.7,
  1218,  60.2, 113.8, 206.4, 281.1, 370.4, 444.2, 518.5, 591.8,
  1328,  60.1, 121.6, 207.5, 281.4, 369.8, 444.6, 516.7, 592.5,
  1448,  60.2, 120.4, 203.0, 281.2, 369.8, 444.2, 518.6, 592.3,
  1579,  60.1, 119.8, 195.3, 281.3, 370.3, 443.8, 517.1, 592.0,
  1722,  60.0, 119.1, 180.1, 280.9, 370.0, 443.8, 518.7, 592.2,
  1878,  60.0, 108.4, 172.7, 279.5, 370.0, 444.3, 518.1, 592.0,
  2048,  60.0,  98.3, 180.9, 254.3, 344.7, 430.0, 516.3, 590.2,
  2233,  60.0, 103.8, 177.5, 259.2, 342.5, 428.5, 517.6, 587.2,
  2435,  59.8, 109.6, 165.8, 237.8, 342.2, 413.5, 501.0, 583.1,
  2656,  59.7, 109.3, 162.6, 231.7, 331.6, 407.2, 506.7, 588.7,
  2896,  59.7, 110.1, 160.2, 191.8, 322.3, 411.0, 490.5, 585.1,
  3158,  59.9, 107.9, 163.4, 174.4, 303.7, 393.9, 484.6, 573.4,
  3444,  60.0, 102.8, 172.4, 166.2, 257.9, 389.0, 475.3, 556.3,
  3756,  60.0, 100.7, 170.1, 165.3, 241.0, 370.7, 465.8, 529.2,
  4096,  59.9, 104.4, 162.4, 167.6, 233.1, 360.5, 449.0, 483.2,
  4467,  58.8, 105.4, 159.3, 162.6, 233.4, 306.9, 432.3, 466.8,
  4871,  59.8, 105.8, 162.4, 162.7, 231.9, 300.5, 395.6, 450.4,
  5312,  59.1, 103.8, 162.6, 162.4, 221.3, 282.1, 362.4, 435.1,
  5793,  58.6, 104.7, 161.0, 162.9, 220.6, 289.1, 355.3, 380.9,
  6317,  58.2, 115.5, 160.6, 162.5, 219.2, 278.3, 347.2, 357.3,
  6889,  57.8, 103.6, 161.3, 162.3, 219.5, 276.8, 342.2, 340.6,
